Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Time,Air Raids,Lat,Lng
9541,14/10/2016,Saada,Baqim,"Al-Tho'ban, Al-Mahraq, Shu'aib mountain",Unknown,Unknown,Unknown,unkn,7,17.4414109,43.4644802
9542,14/10/2016,Saada,Al-Dhaher,Al-Safiah,Al-Dhaher - Haydan road,Infrastructure,Transport,unkn,2,15.552727,48.516388
9543,14/10/2016,Saada,Haydan,Al-Rus,Unknown,Unknown,Unknown,unkn,2,16.7762818,43.4331702
9544,14/10/2016,Saada,Sihar,"Bani Mouadh, Saber",Unknown,Unknown,Unknown,unkn,2,15.552727,48.516388
9545,14/10/2016,Saada,Sihar,Red mountain,Telecommunication towers,Infrastructure,Communication,unkn,unkn,15.552727,48.516388
9546,15/10/2016,Capital,Al-Sab'ein,-,Al-Hafa Military Camp,Military_Security_Target,Military Site,18,5,15.552727,48.516388
9547,15/10/2016,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,18,unkn,15.552727,48.516388
9548,15/10/2016,Sanaa,Bani Hushaysh,Al-Taweel mountain,Unknown,Unknown,Unknown,5,2,15.552727,48.516388
9549,15/10/2016,Sanaa,Bani Hushaysh,Wadi Al-Ser,Residential Area,Civilian,Residential Area,unkn,8,15.552727,48.516388
9550,15/10/2016,Amran,Amran,-,Unknown,Unknown,Unknown,unkn,1,16.2569214,43.9436788
9551,15/10/2016,Hajja,Harad,-,Unknown,Unknown,Unknown,unkn,5,16.4036677,43.0631953
9553,15/10/2016,Marib,Sirwah,-,Unknown,Unknown,Unknown,unkn,1,15.4503332,45.0198209
9554,15/10/2016,Marib,Sirwah,Wadi Habab,Al-Jezailan farms,Economic_infrastructure,Farms,unkn,2,15.4503332,45.0198209
9555,15/10/2016,Marib,Sirwah,Wadi Adoum,Car,Civilian,Vehicle/Bus,unkn,1,15.4503332,45.0198209
9556,15/10/2016,Saada,Sihar,"Bani Mouadh, Saber",Unknown,Unknown,Unknown,unkn,2,15.552727,48.516388
9557,15/10/2016,Saada,Sihar,Red mountain,Telecommunication towers,Infrastructure,Communication,unkn,1,15.552727,48.516388
9558,15/10/2016,Saada,Sihar,Al-Anad,Plant Nursery,Economic_infrastructure,Farms,unkn,3,15.552727,48.516388
9559,15/10/2016,Saada,Baqim,-,Unknown,Unknown,Unknown,unkn,unkn,17.4414109,43.4644802
9560,15/10/2016,Saada,Al-Dhaher,-,Unknown,Unknown,Unknown,unkn,unkn,15.552727,48.516388
9561,15/10/2016,Taiz,Al-Mukha,Al-Mukha coasts,Al-Qita'a Military Camp,Military_Security_Target,Military Site,unkn,4,13.3203021,43.2473146
9562,16/10/2016,Sanaa,Bani Hushaysh,Sarif,Khashm Al-Bakrah Military Camp,Military_Security_Target,Military Site,12,unkn,15.552727,48.516388
9563,16/10/2016,Sanaa,Bani Hushaysh,Sarif,House,Civilian,Residential Area,unkn,1,15.552727,48.516388
9564,16/10/2016,Sanaa,Bani Hushaysh,Al-Jumaymah,Telecommunication towers,Infrastructure,Communication,12,1,15.552727,48.516388
9565,16/10/2016,Sanaa,Hamdan,Al-Ghaoush,Al-Ghoush Air Defense Military Camp,Military_Security_Target,Military Site,13,1,15.552727,48.516388
9566,16/10/2016,Sanaa,Nihm,"Maswarah, Milh",Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,15.6333333,44.5833333
9567,16/10/2016,Marib,Sirwah,-,Residential Area,Civilian,Residential Area,unkn,2,15.4503332,45.0198209
9568,16/10/2016,Saada,Shada'a,Al-Hassamah,Unknown,Unknown,Unknown,unkn,4,15.3694451,44.1910066
9569,16/10/2016,Saada,Al-Dhaher,Al-Malaheet,Unknown,Unknown,Unknown,unkn,1,15.552727,48.516388
9570,16/10/2016,Saada,Razih,Bani Sayah,Residential Area,Civilian,Residential Area,unkn,1,15.552727,48.516388
9571,16/10/2016,Saada,Haydan,Kharban,Residential Area,Civilian,Residential Area,unkn,1,16.7762818,43.4331702
9572,16/10/2016,Saada,Sihar,Walad Masoud,Al-Mithaq school,Educational_Facility,School,unkn,3,15.552727,48.516388
9573,17/10/2016,Capital,Al-Sab'ein,Noqoum mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,24,2,15.552727,48.516388
9574,17/10/2016,Capital,Azal,Burash mountain,Unknown,Unknown,Unknown,24,2,15.3567529,44.1748372
9575,17/10/2016,Amran,Amran,Marhah mountain,Unknown,Unknown,Unknown,22,3,16.2569214,43.9436788
9576,17/10/2016,Hajja,Harad,The City,Missiles storage,Military_Security_Target,Weapon Storage,unkn,2,16.4036677,43.0631953
9577,17/10/2016,Hajja,Harad,The City,Pro-Houthi forces,Military_Security_Target,Forces,unkn,1,16.4036677,43.0631953
9578,17/10/2016,Hudaydah,Al-Durayhimi,Al-Jabbanah,Air Defence Military Camp,Military_Security_Target,Military Site,18,3+,15.552727,48.516388
9579,17/10/2016,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,18,3+,15.552727,48.516388
9580,17/10/2016,Hudaydah,Al-Durayhimi,Airport street,22 May Stage,Infrastructure,Gov. Compounds,19,2+,15.552727,48.516388
9581,17/10/2016,Marib,Sirwah,"Airport, Al-Rabie'ah, Al-Makhdarah",Unknown,Unknown,Unknown,unkn,5,15.4503332,45.0198209
9582,18/10/2016,Capital,Al-Sab'ein,Noqoum mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,unkn,5,15.552727,48.516388
9583,18/10/2016,Sanaa,Manakhah,Bartan,Sana'a-Al-Hudaydah road,Infrastructure,Transport,unkn,1,15.0755363,43.7405921
9584,18/10/2016,Sanaa,Manakhah,-,Abbarah,Unknown,Unknown,unkn,1,15.0755363,43.7405921
9585,18/10/2016,Sanaa,Al-Haymah Al-Kharijiyah,"Bait Al-Rabh, Al-Manar mountain",Residential Area,Civilian,Residential Area,unkn,2,15.552727,48.516388
9586,18/10/2016,Sanaa,Manakhah,Sana'a road,Naqil Mousanah,Infrastructure,Transport,unkn,3,15.0755363,43.7405921
9587,18/10/2016,Marib,Sirwah,"Wadi Rahab, Airport, Al-Makhdarah",Unknown,Unknown,Unknown,unkn,5,15.4503332,45.0198209
9588,18/10/2016,Marib,Sirwah,-,Sirwah market,Civilian,Market Place,unkn,4,15.4503332,45.0198209
9589,18/10/2016,Marib,Sirwah,"Wadi Rahab, Airport",Unknown,Unknown,Unknown,unkn,3,15.4503332,45.0198209
9590,18/10/2016,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Al-Boqe'e crossing-border,Infrastructure,Transport,unkn,25,17.037629,44.1221682
9591,18/10/2016,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Pro-Houthi battalion,Military_Security_Target,Moving Target (weapons/fighters),unkn,unkn,17.037629,44.1221682
9592,18/10/2016,Saada,Sa'ada,-,Republican Palace,Military_Security_Target,Military Site,unkn,3,16.9509413,43.7477743
9593,18/10/2016,Saada,Baqim,Al-Masa'eb ,Unknown,Unknown,Unknown,unkn,1,17.4414109,43.4644802
9594,19/10/2016,Capital,Al-Sab'ein,Noqoum mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,9,3,15.552727,48.516388
9595,19/10/2016,Capital,Al-Sab'ein,-,Al-Hafa Military Camp,Military_Security_Target,Military Site,unkn,1,15.552727,48.516388
9596,19/10/2016,Capital,Bani Al-Harith,Al-Rahabah,Sana'a International Airport,Infrastructure,Transport,20,3,15.552727,48.516388
9597,19/10/2016,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,20,5,15.552727,48.516388
9598,19/10/2016,Capital,Ma'ain,60m street,Aviation College,Military_Security_Target,Military Site,unkn,1,15.385637,44.1625338
9599,19/10/2016,Sanaa,Sanhan,Dar Al-Hayed,Unknown,Unknown,Unknown,unkn,1,15.552727,48.516388
9600,19/10/2016,Sanaa,Bani Hushaysh,-,Pro-Houthi Military vehicles,Military_Security_Target,Moving Target (weapons/fighters),unkn,5,15.552727,48.516388
9601,19/10/2016,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Unknown,Unknown,Unknown,20,2,15.552727,48.516388
9602,19/10/2016,Sanaa,Hamdan,Dhula'a,Unknown,Unknown,Unknown,unkn,1,15.552727,48.516388
9603,19/10/2016,Amran,Amran,-,Amran Cement Factory,Infrastructure,Factory,unkn,4,16.2569214,43.9436788
9604,19/10/2016,Hajja,Harad,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,15,16.4036677,43.0631953
9605,19/10/2016,Hajja,Midi,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,15,16.3197605,42.8125942
9606,19/10/2016,Hudaydah,Al-Mina,Al-Katheeb,Naval Base,Military_Security_Target,Military Site,unkn,4,15.552727,48.516388
9607,19/10/2016,Marib,Sirwah,"Wadi Naw', Airport",Pro-Houthi forces,Military_Security_Target,Military Site,unkn,3,15.4503332,45.0198209
9608,19/10/2016,Marib,Sirwah,Haylan mountain,Pro-Houthi Site,Military_Security_Target,Military Site,unkn,unkn,15.4503332,45.0198209
9609,19/10/2016,Saada,Sa'ada,The City,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,unkn,16.9509413,43.7477743
9610,19/10/2016,Saada,Baqim,Baqim junction,House,Civilian,Residential Area,unkn,1,17.4414109,43.4644802
9611,19/10/2016,Taiz,Dhubab,-,Pro-Houthi forces,Military_Security_Target,Forces,unkn,2,12.9422264,43.4126877
9612,20/10/2016,Sanaa,Bani Hushaysh,Sha'ab Fandhakh,Farms,Economic_infrastructure,Farms,unkn,2,15.552727,48.516388
9613,20/10/2016,Sanaa,Nihm,Naqil Bin Ghaylan,Road,Infrastructure,Transport,unkn,2,15.6333333,44.5833333
9614,20/10/2016,Jawf,Al-Ghayl,Al-qoaihash,Pro-Houthi Site,Military_Security_Target,Military Site,unkn,1,16.05,43.883333
9615,20/10/2016,Jawf,Al-Maslub,Al-Saqiyah,Pro-Houthi Site,Military_Security_Target,Military Site,unkn,1,15.552727,48.516388
9616,21/10/2016,Jawf,Al-Maton,-,Farms,Economic_infrastructure,Farms,unkn,2,15.552727,48.516388
9617,21/10/2016,Jawf,Al-Ghayl,Al-Maqate',Unknown,Unknown,Unknown,unkn,2,16.05,43.883333
9619,21/10/2016,Marib,Sirwah,"Haylan mountain, Wadi Dhwar",Unknown,Unknown,Unknown,unkn,3,15.4503332,45.0198209
9620,21/10/2016,Shabwa,Asilan,Aqdah Sawfah,Artillery,Military_Security_Target,Moving Target (weapons/fighters),unkn,1,15.552727,48.516388
9621,21/10/2016,Shabwa,Asilan,-,Unknown,Unknown,Unknown,unkn,2,15.552727,48.516388
9622,22/10/2016,Sanaa,Nihm,"Buran, Al-Shabakah",Unknown,Unknown,Unknown,unkn,3,15.6333333,44.5833333
9623,22/10/2016,Jawf,Al-Maton,-,House,Civilian,Residential Area,unkn,1,15.552727,48.516388
9624,22/10/2016,Jawf,Al-Maton,Bin Shihab,Pro-Houthi forces,Military_Security_Target,Forces,unkn,1,15.552727,48.516388
9625,22/10/2016,Jawf,Al-Maslub,"Al-Saqiyah, Al-Waqz",Unknown,Unknown,Unknown,unkn,2,15.552727,48.516388
9626,22/10/2016,Marib,Badbadah,Oqlah,Pro-Houthi battalion,Military_Security_Target,Moving Target (weapons/fighters),unkn,2,15.552727,48.516388
9627,22/10/2016,Saada,Kitaf Wa Al-Boqe'e,"Al-Harirah, Rashahah",Unknown,Unknown,Unknown,unkn,7,17.037629,44.1221682
9628,23/10/2016,Capital,Al-Sab'ein,Noqoum mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,4,5,15.552727,48.516388
9629,23/10/2016,Capital,Azal,Noqoum mountain,Unknown,Unknown,Unknown,5,2,15.3567529,44.1748372
9630,23/10/2016,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,5,1,15.552727,48.516388
9631,23/10/2016,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
9632,23/10/2016,Capital,Al-Sab'ein,Noqoum mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,9,3,15.552727,48.516388
9633,23/10/2016,Capital,Azal,Noqoum mountain,Unknown,Unknown,Unknown,9,2,15.3567529,44.1748372
9634,23/10/2016,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,11,4,15.552727,48.516388
9635,23/10/2016,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Air Defence Military Camp,Military_Security_Target,Military Site,11,2,15.552727,48.516388
9636,23/10/2016,Sanaa,Nihm,"Maswarah, Bani Bariq",Residential Area,Civilian,Residential Area,unkn,2,15.6333333,44.5833333
9637,23/10/2016,Dhamar,Dhawran Ans,Bani Swaid,Unknown,Unknown,Unknown,20,2,15.506945,48.3439498
9638,23/10/2016,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,23,11,14.5298154,44.5878439
9639,23/10/2016,Hudaydah,Al-Mina,Al-Katheeb,Naval Base,Military_Security_Target,Military Site,2,4,15.552727,48.516388
9640,23/10/2016,Hudaydah,Al-Khawkhah,-,Coastal Defence Military Camp,Military_Security_Target,Military Site,unkn,6,13.8097319,43.2473146
9641,23/10/2016,Jawf,Al-Maslub,-,Pro-Houthi Sites,Military_Security_Target,Military Site,2,3,15.552727,48.516388
9642,23/10/2016,Jawf,Khab Wa Al-Sha'af,Al-Yatamah,Main Road,Infrastructure,Transport,unkn,1,15.552727,48.516388
9643,23/10/2016,Marib,Sirwah,-,Unknown,Unknown,Unknown,unkn,1,15.4503332,45.0198209
9644,23/10/2016,Saada,Baqim,-,Unknown,Unknown,Unknown,2,unkn,17.4414109,43.4644802
9645,23/10/2016,Saada,Baqim,-,Farm,Economic_infrastructure,Farms,unkn,2,17.4414109,43.4644802
9646,23/10/2016,Saada,Baqim,Takhyah,Unknown,Unknown,Unknown,unkn,1,17.4414109,43.4644802
9647,23/10/2016,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),unkn,1,17.037629,44.1221682
9648,23/10/2016,Saada,Razih,Ghamar,Unknown,Unknown,Unknown,unkn,1,15.552727,48.516388
9649,23/10/2016,Saada,Al-Dhaher,Al-Malaheet,Al-Malaheet market,Civilian,Market Place,unkn,2,15.552727,48.516388
9650,23/10/2016,Saada,Shada'a,Twayliq,Unknown,Unknown,Unknown,unkn,1,15.3694451,44.1910066
9651,23/10/2016,Shabwa,Asilan,"Hajr Kahlan, Al-Aredhah",Pro-Houthi Sites,Military_Security_Target,Forces,unkn,4,15.552727,48.516388
9652,24/10/2016,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,unkn,13,14.5298154,44.5878439
9653,24/10/2016,Hudaydah,Al-Salif,Al-Arj village,Residential Area,Civilian,Residential Area,24,unkn,15.3131439,42.6881045
9654,24/10/2016,Ibb,Ba'dan,Al-Adharib,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),1,unkn,13.9666667,44.25
9655,24/10/2016,Marib,Sirwah,"Al-Rabie'ah, Airport",Unknown,Unknown,Unknown,unkn,3,15.4503332,45.0198209
9656,24/10/2016,Shabwa,Asilan,"Dar Al-Monsir, Hajr Kahlan",Pro-Houthi forces,Military_Security_Target,Forces,unkn,unkn,15.552727,48.516388
9657,24/10/2016,Shabwa,Asilan,Hajr Kahlan,Unknown,Unknown,Unknown,unkn,1,15.552727,48.516388
9658,24/10/2016,Shabwa,Bayhan,"Al-Saq, Mablaqah",Unknown,Unknown,Unknown,unkn,2,14.7976183,45.7189412
9659,25/10/2016,Capital,Al-Sab'ein,Noqoum mountain,Al-Hafa Military Camp,Military_Security_Target,Military Site,20,1,15.552727,48.516388
9660,25/10/2016,Sanaa,Nihm,-,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),9,12,15.6333333,44.5833333
9661,25/10/2016,Sanaa,Nihm,Maswarah,House,Civilian,Residential Area,unkn,1,15.6333333,44.5833333
9662,25/10/2016,Hajja,Harad,-,Pro-Houthi Military vehicles,Military_Security_Target,Moving Target (weapons/fighters),unkn,unkn,16.4036677,43.0631953
9663,25/10/2016,Hajja,Midi,-,Pro-Houthi Military vehicles,Military_Security_Target,Moving Target (weapons/fighters),unkn,unkn,16.3197605,42.8125942
9664,25/10/2016,Marib,Sirwah,-,Unknown,Unknown,Unknown,unkn,2,15.4503332,45.0198209
9665,25/10/2016,Jawf,Al-Maslub,"Al-Saqiyah, Al-Waqz",Farms,Economic_infrastructure,Farms,unkn,4,15.552727,48.516388
9666,25/10/2016,Jawf,Al-Ghayl,Al-Maqate',Unknown,Unknown,Unknown,unkn,2,16.05,43.883333
9667,25/10/2016,Jawf,Al-Maslub,Al-Sallan,Unknown,Unknown,Unknown,unkn,1,15.552727,48.516388
9668,25/10/2016,Saada,Haydan,Dhahyan - Majz bridge,Pro-Houthi leaders convoy,Military_Security_Target,Moving Target (weapons/fighters),23,1,16.7762818,43.4331702
9669,26/10/2016,Sanaa,Nihm,"Wadi Al-Mihshash, Maswarah, Al-Hawl, Bani Bariq, Mabda'ah, Buran, Hareem mountain, Bani Shakwan",Pro-Houthi Sites,Military_Security_Target,Military Site,unkn,20+,15.6333333,44.5833333
9670,26/10/2016,Sanaa,Bani Hushaysh,Sarif,Air Defence Military Camp,Military_Security_Target,Military Site,unkn,3,15.552727,48.516388
9671,26/10/2016,Amran,Qaflah Odhr,Centre of the district,Unknown,Unknown,Unknown,unkn,4,15.552727,48.516388
9672,26/10/2016,Amran,Al-Ashah,Airport area,Residential Area,Civilian,Residential Area,unkn,15+,17.0443881,43.68908890000001
9673,26/10/2016,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,unkn,3,15.552727,48.516388
9674,26/10/2016,Hudaydah,Al-Durayhimi,-,Air Defence Military Camp,Military_Security_Target,Military Site,unkn,3,15.552727,48.516388
9675,26/10/2016,Hudaydah,Bajil,Bab Al-Naqah,Unknown,Unknown,Unknown,unkn,unkn,15.0624131,43.2859908
9676,26/10/2016,Ibb,Yarim,-,55th Artillery Brigade,Military_Security_Target,Military Site,17,5,14.2964678,44.3756667
9677,26/10/2016,Mahwit,Bani Sa'ad,Al-Badahah,Residential Area,Civilian,Residential Area,unkn,3,15.552727,48.516388
9678,26/10/2016,Mahwit,Bani Sa'ad,Al-Badahah,Bilal Bin Rabah school,Educational_Facility,School,unkn,unkn,15.552727,48.516388
9679,26/10/2016,Mahwit,Bani Sa'ad,Al-Badahah,Water tank,Economic_infrastructure,Water & Electricity,unkn,unkn,15.552727,48.516388
9680,26/10/2016,Marib,Sirwah,-,Pro-Houthi Sites,Military_Security_Target,Military Site,22,2,15.4503332,45.0198209
9681,26/10/2016,Saada,Baqim,-,Unknown,Unknown,Unknown,unkn,4,17.4414109,43.4644802
9682,26/10/2016,Saada,Haydan,-,Main Road,Infrastructure,Transport,unkn,2,16.7762818,43.4331702
9683,26/10/2016,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e desert,Unknown,Unknown,Unknown,unkn,10+,17.037629,44.1221682
9684,26/10/2016,Saada,Baqim,The main road,Car,Civilian,Vehicle/Bus,unkn,1,17.4414109,43.4644802
9685,26/10/2016,Saada,Baqim,"Takhyah, Al-Alzammah",Unknown,Unknown,Unknown,unkn,2,17.4414109,43.4644802
9686,26/10/2016,Saada,Al-Dhaher,-,Main Road,Infrastructure,Transport,unkn,2,15.552727,48.516388
9687,26/10/2016,Saada,Al-Dhaher,Al-Malaheet,Unknown,Unknown,Unknown,unkn,5,15.552727,48.516388
9688,27/10/2016,Sanaa,Bani Hushaysh,Sarif,Air Defence Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
9689,27/10/2016,Sanaa,Bani Hushaysh,Mashwar mountain,Air Defence Military Site,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
9690,27/10/2016,Sanaa,Nihm,"Mahali, Al-Salta'a, Al-Madfon, Maswarah",Unknown,Unknown,Unknown,unkn,9,15.6333333,44.5833333
9691,27/10/2016,Hudaydah,Al-Mina,Al-Katheeb,Naval Base,Military_Security_Target,Military Site,20,2,15.552727,48.516388
9692,27/10/2016,Hudaydah,Al-Mina,-,Coastal Defence Military Camp,Military_Security_Target,Military Site,20,1,15.552727,48.516388
9693,27/10/2016,Hudaydah,Al-Qanawis,Al-Qanawis - Al-Zuhrah road,Bridge,Infrastructure,Transport,unkn,unkn,15.49089,43.135578
9694,27/10/2016,Hudaydah,Al-Mina,Al-Katheeb,Al-Rabie Park,Infrastructure,Parks/Resorts,unkn,unkn,15.552727,48.516388
9695,27/10/2016,Mahwit,Bani Sa'ad,"Al-Badahah village, Bani Al-Hamadi villages",Residential Area,Civilian,Residential Area,unkn,6+,15.552727,48.516388
9696,27/10/2016,Marib,Sirwah,-,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),unkn,unkn,15.4503332,45.0198209
9697,27/10/2016,Marib,Sirwah,"Al-Makhdarah, Haylan",Unknown,Unknown,Unknown,unkn,3,15.4503332,45.0198209
9698,27/10/2016,Marib,Sirwah,"Airport area, Wadi Naw'",Unknown,Unknown,Unknown,unkn,2,15.4503332,45.0198209
